time,INT_CO2,INT_REL_HD,MID_INT_TMP,SLR_RAD
2021-10-19 00:00:00+00:00,,60.5,19.8,0.0
2021-10-19 00:03:00+00:00,,60.3,61.72485987526167,0.0
2021-10-19 00:04:00+00:00,949.695614717795,,65.94217488910795,0.0
2021-10-19 00:05:00+00:00,549.0,147.40344109332352,,0.0
2021-10-19 00:05:45+00:00,1043.9135561392277,162.20928712390418,19.8,
2021-10-19 00:06:34+00:00,550.0,,52.16593473197803,0.0
2021-10-19 00:07:00+00:00,551.0,170.13494270677748,65.09291883374543,0.0
2021-10-19 00:08:00+00:00,549.0,60.4,42.2766201785469,458.6634763454738
2021-10-19 00:08:15+00:00,887.5368534120494,130.94806688653114,19.8,0.0
2021-10-19 00:09:00+00:00,550.0,,19.8,0.0
2021-10-19 00:11:00+00:00,1353.6621140699367,,45.413417310642494,0.0
2021-10-19 00:12:00+00:00,1204.3228709002274,59.6,19.9,1029.384229320826
2021-10-19 00:13:00+00:00,555.0,59.6,,432.2558216321961
2021-10-19 00:13:08+00:00,551.0,160.27381831613027,,
2021-10-19 00:15:00+00:00,549.0,,49.066977963197914,0.0
2021-10-19 00:17:00+00:00,552.0,,19.9,450.2209718921951
2021-10-19 00:17:40+00:00,553.0,163.2379368044589,66.66849725359212,
2021-10-19 00:19:00+00:00,553.0,59.8,,597.6559589906365
2021-10-19 00:19:10+00:00,1345.9473659848884,59.7,19.9,
2021-10-19 00:20:00+00:00,,,19.9,715.8797061778362
2021-10-19 00:22:00+00:00,1197.1218058362645,59.6,19.9,0.0
2021-10-19 00:22:30+00:00,,146.93330949612164,,
2021-10-19 00:23:00+00:00,,132.43053633492846,62.217907380629605,0.0
2021-10-19 00:24:00+00:00,284.6421092502038,213.21759425134834,50.84044452959848,580.2872101497559
2021-10-19 00:25:00+00:00,555.0,,45.249801712237435,0.0
2021-10-19 00:25:33+00:00,,213.61896836214942,19.9,0.0
2021-10-19 00:26:00+00:00,1358.3755363009984,111.61872596561892,19.9,-1.6080121467385284
2021-10-19 00:28:00+00:00,,12.918010500475354,,
2021-10-19 00:29:00+00:00,,,53.47272557536935,581.1428637051595
2021-10-19 00:30:00+00:00,286.83739812920066,59.5,56.49426889779761,0.0
2021-10-19 00:30:42+00:00,556.0,215.76819381127976,,547.3981115991645
2021-10-19 00:32:00+00:00,280.6300586214672,167.657739648515,19.9,0.0
2021-10-19 00:33:00+00:00,741.7283682911568,136.22414755834288,,
2021-10-19 00:34:00+00:00,1086.700604462364,,19.9,0.0
2021-10-19 00:34:48+00:00,1038.3744088674516,,,766.2056602773425
2021-10-19 00:35:00+00:00,797.9250706816717,59.8,19.9,0.0
2021-10-19 00:36:00+00:00,557.0,150.15906660489932,19.9,
2021-10-19 00:37:00+00:00,558.0,59.8,51.3586168450951,421.6738510772337
2021-10-19 00:39:00+00:00,282.78760633844325,59.7,19.9,
2021-10-19 00:41:00+00:00,1177.51952819471,186.26301522853504,48.65104325391273,0.0
2021-10-19 00:42:59+00:00,1114.346716259076,59.8,19.9,0.0
2021-10-19 00:43:00+00:00,559.0,,19.9,415.26963720777735
2021-10-19 00:44:00+00:00,,59.3,,
